id,name,description,price,restaurant_id,,,,,
1,Combo Meal,one drink one starter,10,1,,,,,
2,Combo Meal,one drink one starter one entree,15,1,,,,,
3,Combo Meal,one drink one starter one entree,10,1,,,,,
4,Combo Meal,one drink one starter one entree,15,1,,,,Query,
5,Combo Meal,one drink one starter one entree,10,1,,,,Select*,
6,Combo Meal,one drink one starter one entree,15,1,,,,From menu_item,
7,Combo Meal,one drink one starter one entree,10,1,,,,,
8,Combo Meal,one drink one starter one entree,15,1,,,,,
9,Combo Meal,one drink one starter,10,1,,,,,
10,Combo Meal,one drink one starter,10,1,,,,,
11,Combo Meal,one drink one starter,15,1,,,,,
12,Combo Meal,one drink one starter,10,1,,,,,
13,Delux Combo Meal,one drink one starter,15,1,,,,,
14,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
15,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
16,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
17,Delux Combo Meal,one drink one starter,15,1,,,,,
18,Delux Combo Meal,one drink one starter,10,1,,,,,
19,Delux Combo Meal,one drink one starter,10,1,,,,,
20,Delux Combo Meal,one drink one starter,15,1,,,,,
21,Delux Combo Meal,one drink one starter,10,1,,,,,
22,Delux Combo Meal,one drink one starter,15,1,,,,,
23,Delux Combo Meal,one drink one starter,10,1,,,,,
24,Combo Meal,one drink one starter,15,1,,,,,
25,Combo Meal,one drink one starter one entree,10,1,,,,,
26,Combo Meal,one drink one starter one entree,15,1,,,,,
27,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
28,Delux Combo Meal,one drink one starter,10,1,,,,,
29,Combo Meal,one drink one starter,15,1,,,,,
30,Combo Meal,one drink one starter,10,1,,,,,
31,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
32,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
33,Combo Meal,one drink one starter,15,1,,,,,
34,Combo Meal,one drink one starter,10,1,,,,,
35,Combo Meal,one drink one starter,15,1,,,,,
36,Delux Combo Meal,one drink one starter,10,1,,,,,
37,Delux Combo Meal,one drink one starter,10,1,,,,,
38,Combo Meal,one drink one starter one entree,15,1,,,,,
39,Combo Meal,one drink one starter one entree,10,1,,,,,
40,Delux Combo Meal,one drink one starter,15,1,,,,,
41,Delux Combo Meal,one drink one starter,10,1,,,,,
42,Combo Meal,one drink one starter,15,1,,,,,
43,Combo Meal,one drink one starter one entree,10,1,,,,,
44,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
45,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
46,Combo Meal,one drink one starter,10,1,,,,,
47,Combo Meal,one drink one starter,15,1,,,,,
48,Delux Combo Meal,one drink one starter,10,1,,,,,
49,Delux Combo Meal,one drink one starter,15,1,,,,,
50,Combo Meal,one drink one starter,10,1,,,,,
51,Delux Combo Meal,one drink one starter,15,1,,,,,
52,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
53,Combo Meal,one drink one starter one entree,15,1,,,,,
54,Combo Meal,one drink one starter one entree,10,1,,,,,
55,Delux Combo Meal,one drink one starter,10,1,,,,,
56,Delux Combo Meal,one drink one starter,15,1,,,,,
57,Delux Combo Meal,one drink one starter,10,1,,,,,
58,Delux Combo Meal,one drink one starter,15,1,,,,,
59,Combo Meal,one drink one starter,10,1,,,,,
60,Combo Meal,one drink one starter one entree,15,1,,,,,
61,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
62,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
63,Combo Meal,one drink one starter,10,1,,,,,
64,Delux Combo Meal,one drink one starter,10,1,,,,,
65,Delux Combo Meal,one drink one starter,15,1,,,,,
66,Combo Meal,one drink one starter,10,1,,,,,
67,Delux Combo Meal,one drink one starter,15,1,,,,,
68,Combo Meal,one drink one starter,10,1,,,,,
69,Combo Meal,one drink one starter one entree,15,1,,,,,
70,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
71,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
72,Combo Meal,one drink one starter,10,1,,,,,
73,Delux Combo Meal,one drink one starter,10,1,,,,,
74,Delux Combo Meal,one drink one starter,15,1,,,,,
75,Combo Meal,one drink one starter,10,1,,,,,
76,Delux Combo Meal,one drink one starter,15,1,,,,,
77,Combo Meal,one drink one starter,10,1,,,,,
78,Combo Meal,one drink one starter,15,1,,,,,
79,Delux Combo Meal,one drink one starter,10,1,,,,,
80,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
81,Combo Meal,one drink one starter one entree,10,1,,,,,
82,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
83,Delux Combo Meal,one drink one starter,15,1,,,,,
84,Combo Meal,one drink one starter,10,1,,,,,
85,Delux Combo Meal,one drink one starter,15,1,,,,,
86,Delux Combo Meal,one drink one starter,10,1,,,,,
87,Combo Meal,one drink one starter,15,1,,,,,
88,Delux Combo Meal,one drink one starter,10,1,,,,,
89,Delux Combo Meal,one drink one starter one entree,15,1,,,,,
90,Combo Meal,one drink one starter one entree,10,1,,,,,
91,Delux Combo Meal,one drink one starter one entree,10,1,,,,,
92,Delux Combo Meal,one drink one starter,15,1,,,,,
94,one drink one starter,one drink one starter,15,1,,,,,
95,one drink one starter one entree,one drink one starter one entree,10,1,,,,,
96,one drink one starter one entree,one drink one starter one entree,15,1,,,,,
97,one drink one starter one entree,one drink one starter one entree,10,1,,,,,
98,one drink one starter,one drink one starter,15,1,,,,,
99,one drink one starter,one drink one starter,10,1,,,,,
100,one drink one starter,one drink one starter,10,1,,,,,
