vehicle_id,vehicle_plate,model,make,,,,,
1,4333,p,Mercedes,,,,,
2,8289,y,BMW,,,,,
3,1126,h,Bugatti,,,,,
4,7749,p,Audi,,,,,
5,2644,z,BMW,,,,Query,
6,9878,o,Kia,,,,Select*,
7,4697,i,Kia,,,,From vehicle,
8,9687,s,Mercedes,,,,,
9,3364,c,Hyundai,,,,,
10,8683,z,Toyota,,,,,
11,5436,i,Kia,,,,,
12,9357,e,Kia,,,,,
13,6519,z,Toyota,,,,,
14,3585,t,Hyundai,,,,,
15,2767,d,Bugatti,,,,,
16,4184,j,Mercedes,,,,,
17,6489,l,BMW,,,,,
18,4260,j,Audi,,,,,
19,6455,d,Mercedes,,,,,
20,7009,q,Toyota,,,,,
